Flight,DayOfWeek,Time,Length,Airline_encoded,AirportFrom_encoded,AirportTo_encoded,Delay
2551,3,1060,149,11,38,0,0
2029,3,479,195,2,83,19,0
700,3,1185,65,17,233,64,0
6528,3,1025,79,7,2,12,0
2021,3,360,96,1,15,40,0
26,3,1075,234,3,21,6,0
96,3,375,85,15,131,7,0
258,3,767,125,15,119,7,1
431,3,970,80,4,54,1,0
4442,3,1155,89,7,6,10,1
663,3,1135,270,3,71,3,0
1362,3,760,130,2,65,9,1
280,3,550,285,2,2,19,0
923,3,390,125,15,103,7,0
1677,3,1125,260,2,65,63,1
507,4,75,167,0,7,0,0
1468,3,895,348,0,14,33,1
2875,3,1095,165,11,66,0,1
1062,3,1005,185,2,71,22,1
1452,4,440,56,1,59,1,0
5393,4,330,57,10,48,7,0
7770,4,433,81,7,5,107,1
380,3,1100,85,17,159,61,0
995,3,640,155,17,83,48,0
2723,3,895,65,14,112,2,0
2741,3,910,75,14,71,139,0
2608,3,747,212,4,228,4,1
636,4,391,88,13,65,73,0
928,3,868,120,1,108,6,1
5256,4,450,115,10,140,5,0
4090,3,1320,130,14,65,118,1
2431,3,575,59,11,64,70,0
2621,3,825,91,12,129,1,0
1437,3,385,142,0,23,0,1
6256,3,805,135,9,25,49,0
212,3,1055,143,13,6,0,1
73,3,455,107,3,245,34,0
6950,3,770,103,7,1,24,1
3396,3,430,75,14,31,2,0
4363,3,700,80,8,85,27,1
690,3,720,63,3,21,137,0
2982,3,630,95,17,38,49,1
2635,3,510,185,17,53,37,0
428,3,800,168,16,6,7,0
6570,3,687,149,9,65,9,0
240,4,345,55,0,73,0,0
1158,3,990,70,2,71,56,1
6546,3,549,74,7,67,8,0
6515,4,441,87,7,0,112,1
507,3,396,158,13,65,2,0
4076,4,370,130,14,26,6,0
902,3,810,195,2,183,2,1
3015,3,340,59,11,78,0,1
1461,4,365,120,17,6,33,0
2555,3,715,85,11,150,0,0
4,3,420,60,17,162,50,0
3808,3,645,180,14,65,83,1
110,3,1015,103,0,64,39,1
2116,3,995,225,17,103,15,1
2356,4,355,125,4,131,5,0
6487,3,888,91,7,60,15,1
6603,3,855,134,9,25,118,1
2921,3,388,182,11,106,0,0
66,3,1200,138,3,245,3,1
4748,3,1094,106,7,133,10,0
2903,3,1235,65,17,30,113,1
387,3,1115,133,13,25,24,0
677,3,742,218,0,53,0,1
1915,3,735,175,2,71,10,1
2238,3,660,108,11,120,39,1
5200,3,1185,83,10,171,7,0
1789,3,680,292,1,108,33,0
4743,4,400,135,7,64,4,0
917,3,990,170,5,82,6,1
83,3,851,359,13,2,11,1
909,3,595,115,17,30,84,0
5069,4,445,77,10,104,7,0
763,3,695,149,13,6,45,1
6362,3,975,72,9,136,100,1
599,4,425,130,17,1,21,0
2855,3,785,120,17,4,168,1
1627,3,565,90,2,71,43,1
62,3,410,189,1,6,1,0
2724,3,710,151,12,73,1,1
735,3,1090,160,2,88,19,0
4678,3,790,110,7,233,10,0
3696,3,870,80,14,87,9,0
2400,3,1070,152,4,54,35,0
2781,3,1170,145,14,71,100,0
6410,3,1069,77,7,233,18,0
595,3,985,65,17,137,84,1
74,3,777,117,15,72,7,1
2115,3,965,84,4,54,105,1
1824,3,510,50,17,30,92,1
4134,3,710,165,14,93,6,0
6839,3,740,99,7,65,109,1
6645,3,1216,33,7,111,18,0
6265,3,825,81,9,130,127,0
1704,3,1069,184,4,72,5,1
452,4,400,70,17,31,50,0
2817,3,883,150,11,138,0,0
177,3,580,340,5,82,12,1
244,3,975,162,0,102,51,1
4426,3,1040,110,14,130,25,0
6506,3,460,106,9,136,22,1
328,3,822,133,16,16,35,1
1897,3,1040,255,2,14,2,0
363,3,420,153,15,83,7,0
2069,4,415,125,4,56,7,0
31,3,930,60,17,162,117,1
45,3,990,190,0,14,19,1
1199,3,1035,91,1,85,1,0
2347,3,1085,150,2,65,2,0
23,3,720,60,17,197,61,0
760,3,792,253,13,0,6,0
2095,4,362,206,11,85,0,0
3677,3,1195,55,8,130,58,1
888,3,435,75,17,233,47,0
3138,3,1205,55,17,39,50,1
1267,3,457,235,1,53,2,1
687,3,925,99,5,15,40,0
865,3,1240,154,1,53,13,1
1775,3,1170,214,4,171,12,0
1170,3,895,87,1,108,73,0
1022,3,1220,68,1,108,95,1
4613,3,930,62,7,25,163,0
7267,3,585,118,12,65,7,1
468,3,540,96,13,0,45,0
5254,3,761,86,10,43,7,1
53,3,707,73,5,134,9,1
2999,3,1260,77,11,64,30,0
5525,3,732,112,10,64,7,1
5250,3,595,94,10,88,35,1
30,3,525,115,15,54,48,1
6311,3,1350,50,7,2,177,0
489,3,1115,185,2,53,19,1
1692,3,950,130,17,55,33,1
2556,3,780,175,4,25,39,1
4580,3,1100,125,14,108,25,0
806,4,380,93,15,15,41,0
452,3,1199,135,16,16,25,1
2092,3,1085,160,4,23,5,1
888,3,545,125,17,133,137,1
2724,3,1140,73,11,102,176,0
3157,3,805,130,14,278,15,1
2774,3,1110,113,11,66,39,0
1755,3,360,105,2,126,2,0
1107,3,1310,95,4,5,54,1
782,3,596,125,15,157,13,1
3658,4,430,135,14,19,19,0
4631,3,625,110,14,83,42,0
1544,3,625,158,0,102,51,0
2163,3,420,71,1,83,40,1
1159,3,1170,163,4,54,56,1
339,3,660,135,5,129,13,0
6769,3,672,72,9,54,141,1
5328,3,582,65,10,120,7,1
1763,3,800,200,2,183,6,1
5522,3,630,56,10,54,90,1
6491,3,510,156,7,146,6,0
6641,3,1192,54,7,208,24,1
6310,3,1135,125,7,126,15,1
1308,3,765,175,2,2,62,0
423,3,1079,249,13,22,24,0
2455,3,1290,58,11,14,82,0
869,3,590,155,17,6,15,1
1001,3,530,200,17,55,43,1
1576,3,1120,55,2,71,118,0
598,3,1175,150,2,71,42,0
6942,3,676,38,7,6,120,0
2071,4,430,131,4,21,10,0
2620,3,666,104,11,45,0,0
567,3,990,175,17,53,76,1
504,3,740,205,2,202,2,0
1178,4,435,95,17,197,60,0
3997,3,720,115,14,26,6,1
1089,3,600,70,17,1,33,1
548,3,775,135,2,65,35,1
2611,3,1125,144,11,138,0,1
525,3,580,170,17,2,62,1
254,3,735,270,0,0,51,1
572,3,765,195,15,1,30,0
1079,3,455,95,4,54,68,1
6680,3,420,79,9,121,5,0
497,3,845,174,3,205,3,1
1295,3,733,112,4,85,7,0
53,3,880,105,3,3,123,0
2325,3,900,123,4,30,7,0
6594,3,375,150,9,41,25,1
719,3,1175,110,17,22,86,1
2787,3,935,80,14,76,2,0
56,3,828,312,13,203,18,1
3757,3,1090,160,14,39,6,1
3230,3,780,130,17,30,52,1
453,3,370,135,16,83,30,0
6627,3,915,134,7,6,177,0
6439,3,990,173,9,136,0,0
2079,3,510,260,2,65,45,1
2840,3,985,86,11,102,160,0
196,4,405,177,0,4,0,0
2092,3,455,180,17,30,43,0
1129,3,1345,54,1,108,187,0
1299,3,725,102,1,200,1,0
2082,3,487,72,11,64,40,0
4582,3,510,125,14,83,1,0
94,3,460,322,5,133,9,1
394,3,705,191,0,2,0,1
1877,3,996,124,4,65,7,1
4611,4,360,175,7,39,10,0
1142,3,715,80,17,30,35,1
4457,3,800,119,7,218,4,0
595,3,465,115,2,54,19,1
3279,3,835,50,14,71,176,0
6459,3,974,111,7,6,2,0
2191,3,1300,69,11,14,99,1
23,3,575,69,5,90,9,0
6955,3,1090,48,7,65,30,0
42,3,750,150,17,1,61,1
2786,3,1180,142,4,54,25,1
957,3,825,310,17,101,12,1
1935,3,805,175,2,75,2,1
160,3,705,160,17,6,21,0
5095,3,860,71,10,44,7,1
1569,3,655,224,0,0,0,1
2149,3,390,58,11,197,0,0
1568,3,1137,123,0,102,43,1
4212,3,720,95,14,65,113,1
1438,4,440,81,5,230,18,0
5236,3,685,93,10,29,26,0
3598,3,1175,170,17,21,12,1
1265,3,1040,89,4,54,26,1
4979,4,360,67,10,140,7,0
2160,3,420,81,1,88,25,0
242,3,1260,107,15,54,77,1
1439,3,780,122,4,88,7,1
1588,3,770,187,0,205,0,1
2336,3,955,210,4,82,4,0
286,3,1320,330,2,225,15,0
3415,3,955,100,17,197,60,0
1330,3,535,85,17,127,45,0
4328,3,690,110,14,65,65,0
706,3,752,241,5,187,9,1
4663,3,660,83,7,12,4,1
126,3,510,345,4,0,9,1
1929,3,360,135,17,2,24,0
2937,3,420,84,4,37,5,0
4649,3,1125,180,14,83,4,1
795,3,810,195,2,83,19,0
1585,4,325,64,0,27,0,0
3735,3,635,90,14,64,6,0
2198,3,425,80,17,84,60,0
591,3,775,90,2,65,43,1
1600,4,450,102,5,15,40,0
1153,3,1151,150,15,132,70,0
1879,4,415,193,4,83,37,0
5588,3,1061,76,10,69,7,1
4228,3,760,95,14,65,180,0
1224,3,1025,258,4,5,22,1
2208,3,380,157,11,103,39,0
6495,3,364,161,7,124,15,0
1051,3,945,143,15,22,197,1
4591,3,595,165,7,5,56,1
4869,4,395,206,7,171,10,0
2003,3,436,74,4,18,4,0
6662,3,1058,37,7,172,18,0
1048,3,570,83,5,82,127,0
561,4,400,104,15,156,7,0
128,3,450,68,0,102,86,1
1666,3,746,101,4,75,7,0
7264,3,1205,127,12,65,207,1
4184,3,1132,116,8,171,73,0
2377,4,385,150,11,35,0,0
6617,3,620,103,9,130,175,0
2827,4,325,85,11,31,0,0
6908,4,408,167,7,126,18,0
3715,3,1300,111,8,130,92,1
5941,3,360,113,11,123,6,0
2155,3,1038,300,4,54,15,1
1170,3,770,61,1,131,1,0
1449,3,380,129,4,129,7,0
4851,3,1150,116,7,75,4,0
1803,4,445,138,4,130,26,0
741,3,1001,130,13,200,6,0
6552,3,590,99,9,74,5,1
382,3,593,51,6,11,17,0
2451,3,1305,87,4,54,84,1
6566,3,375,85,9,56,9,0
4858,3,920,77,7,5,145,0
462,3,1205,135,13,2,24,0
4444,3,590,98,7,5,152,0
3347,3,780,85,14,113,2,0
2500,3,707,88,4,227,7,1
61,3,391,261,13,102,18,0
778,3,660,90,17,4,64,0
223,3,1130,395,2,15,15,0
194,3,840,293,5,4,9,1
422,3,620,165,17,30,85,1
4232,3,1275,95,14,65,113,1
1020,3,605,167,1,53,13,1
472,3,427,181,16,16,85,1
4701,3,585,119,7,5,15,0
1231,3,1155,109,1,130,1,0
1351,3,810,270,2,65,15,1
608,3,895,139,16,6,70,0
6749,3,362,76,7,190,24,0
1480,3,435,269,4,0,7,0
6752,3,1202,63,7,81,6,0
475,4,360,133,13,108,6,0
1232,3,1085,144,1,72,40,1
3926,3,890,195,17,103,33,1
1023,3,435,86,1,93,22,0
2309,4,410,129,11,54,0,0
5030,3,985,61,10,104,7,0
3099,3,916,101,11,141,0,0
4651,4,320,62,7,26,4,0
4097,3,1062,128,8,131,26,1
765,3,1007,107,15,86,7,1
4746,4,445,59,7,25,114,0
1408,4,375,129,4,6,4,0
1122,3,670,105,4,132,7,0
2801,3,865,170,4,30,4,1
4527,3,990,65,14,88,42,0
759,3,875,135,17,6,48,1
1434,3,750,170,17,15,48,1
1341,3,435,285,2,65,18,0
4639,3,970,205,7,65,10,0
784,3,688,112,16,4,24,0
5103,3,1165,73,10,171,97,0
2098,3,935,130,2,65,35,1
1839,3,395,120,17,129,48,0
219,3,495,215,17,4,48,1
1245,3,535,144,5,15,1,0
2282,3,1185,205,2,71,35,0
1578,3,820,59,0,39,0,0
2530,3,360,138,4,95,4,0
6358,3,365,131,9,42,5,0
1739,3,580,275,17,4,41,1
433,3,506,229,13,129,62,0
956,3,705,159,1,72,22,1
2700,3,810,150,4,25,41,0
2791,3,535,90,14,71,105,0
4030,3,840,100,8,82,121,1
1967,3,450,80,4,130,6,0
1233,3,890,98,4,54,86,1
598,3,735,100,17,55,47,1
2120,3,840,171,11,16,0,0
16,3,1345,330,3,21,19,1
3769,3,970,118,8,82,95,0
1523,3,955,320,2,187,6,1
625,3,920,65,2,22,19,0
31,3,840,60,17,197,61,1
1954,3,810,69,4,54,52,0
1455,4,437,163,0,86,39,0
2901,3,660,69,12,36,1,0
971,4,380,110,2,54,19,0
4169,3,970,127,8,68,5,1
7131,3,737,87,10,129,116,0
369,3,1340,275,0,4,39,1
2234,3,820,110,4,54,20,0
675,3,925,164,15,16,13,0
4657,4,390,130,7,109,4,1
3668,3,360,131,8,70,25,0
7053,3,868,112,7,42,6,0
2346,4,380,279,4,55,7,1
1597,3,545,255,4,25,64,0
506,3,1110,75,17,228,64,1
1218,3,410,100,17,126,33,0
341,4,413,134,13,56,6,0
206,3,795,125,0,102,76,1
1196,3,826,314,4,193,15,1
2278,3,930,180,17,30,86,1
147,3,1170,125,17,22,41,0
301,3,809,179,0,14,37,1
2143,3,1200,74,1,15,25,1
5165,4,450,69,10,54,49,1
1162,3,1065,140,17,53,48,1
3137,3,1060,185,17,4,60,1
4001,4,390,115,8,65,26,0
2783,3,833,155,4,54,62,0
2316,3,685,244,4,4,5,0
1833,3,725,245,2,14,2,0
2886,3,989,99,11,112,0,0
1945,3,865,60,17,28,90,0
1325,3,490,140,17,135,13,0
2946,4,395,165,4,102,4,0
829,3,935,60,17,202,87,0
3675,3,695,83,8,135,5,0
5946,3,806,82,11,138,6,1
3605,3,450,160,14,183,27,0
815,3,1290,159,13,6,15,1
246,3,960,156,0,102,6,0
2413,4,450,65,2,84,2,0
6290,3,461,65,7,2,129,0
2088,3,660,180,2,183,25,1
1281,4,420,108,5,15,95,0
1842,3,1300,75,17,2,18,1
1383,3,730,145,2,71,66,0
2541,3,465,88,11,64,1,0
291,3,703,167,0,183,0,1
1935,3,420,81,1,101,22,1
2158,3,530,90,11,75,39,0
1224,4,360,101,5,131,35,0
3011,3,470,60,14,2,135,1
2946,3,375,132,11,38,39,0
607,3,890,245,17,137,33,1
1938,3,980,106,4,54,40,0
948,3,966,144,13,2,24,0
4150,3,755,105,14,70,6,1
1599,3,430,175,2,66,2,0
1455,4,420,100,1,23,1,0
3997,3,520,104,8,171,52,1
1679,3,560,317,4,136,18,1
1945,3,365,160,17,21,24,1
943,3,1052,268,13,65,15,1
1156,3,985,85,17,137,49,1
143,3,870,90,17,85,48,1
191,3,600,120,15,88,7,0
2356,3,900,112,11,41,0,0
443,3,507,204,5,15,76,1
3640,3,425,170,14,75,19,0
543,4,410,195,2,86,6,0
835,3,900,145,2,135,2,1
1599,3,910,75,17,128,90,1
414,3,912,135,16,2,24,0
3868,3,930,68,8,130,126,1
6523,3,1210,101,9,82,95,1
5917,3,875,57,11,65,70,1
719,3,1005,140,17,30,13,1
106,3,317,36,6,11,14,0
6632,3,803,131,7,113,24,1
734,3,596,98,4,54,42,1
199,4,440,157,0,102,24,1
1575,3,1110,180,2,22,2,0
1931,3,875,80,2,0,15,0
1165,3,1130,190,2,71,177,1
1710,3,1130,116,5,22,40,1
1472,3,380,155,17,6,15,0
2458,3,695,129,11,44,0,0
2190,4,450,79,4,40,7,1
3629,3,420,145,14,183,49,0
2108,3,802,115,4,6,4,0
6231,3,853,37,7,178,8,0
6870,3,453,113,7,207,24,0
5216,3,1079,146,10,88,60,1
6243,3,389,201,7,39,15,0
7267,4,420,177,12,50,6,0
2349,3,530,300,17,137,47,1
6546,4,433,61,7,55,106,0
6638,3,1300,80,9,130,210,0
519,3,940,285,17,44,15,1
12,3,395,160,17,22,61,0
1373,3,390,82,4,15,25,0
1980,3,490,110,17,38,41,0
53,3,880,190,0,2,0,1
1829,4,400,70,4,106,5,0
607,3,1050,100,17,4,18,1
5161,3,460,59,10,74,7,0
1926,3,700,255,17,1,41,1
542,3,580,196,0,102,10,0
4708,3,1290,104,7,2,10,0
2060,3,1130,195,4,54,120,1
6425,3,910,119,9,25,27,0
3816,3,620,145,14,6,6,0
264,3,385,120,17,6,60,0
4442,3,1299,102,7,5,230,0
1153,3,935,55,17,7,33,1
6434,3,632,163,7,2,56,0
479,3,880,235,16,16,33,0
6274,3,1174,156,7,146,6,1
2446,3,630,94,4,128,5,0
173,3,1163,119,16,71,24,0
7116,3,360,81,10,82,20,0
1233,3,1020,125,17,22,41,1
624,3,1245,80,17,127,15,0
2223,3,770,59,11,102,72,0
2344,4,10,215,4,4,27,0
1200,3,1235,162,5,132,113,0
4253,3,930,140,8,131,60,0
6937,3,719,64,7,6,171,1
660,3,900,85,17,5,24,1
4263,3,565,120,8,136,43,0
5253,3,1366,68,10,54,156,0
219,3,385,80,17,127,33,0
4124,3,815,126,8,136,39,0
968,3,1416,213,13,4,6,0
3655,3,1080,150,17,23,60,1
5306,3,905,111,10,54,101,1
175,3,610,103,15,54,85,0
746,3,980,187,5,187,13,1
382,3,805,80,17,5,33,1
7309,3,555,73,10,152,7,0
5274,3,895,98,10,88,35,1
1145,4,445,100,4,54,86,1
5283,3,885,78,10,54,208,1
856,3,965,165,17,6,18,1
1537,3,1230,70,17,137,51,1
1498,3,1175,55,17,202,54,0
2633,3,671,69,11,57,0,0
4377,3,605,134,8,130,134,0
4872,3,1306,69,7,5,88,1
3820,3,925,66,8,130,73,1
256,3,610,37,6,11,14,0
431,3,775,360,17,184,12,1
4656,3,1155,120,7,25,178,0
600,4,360,143,3,21,33,0
675,3,725,172,3,6,3,0
2184,3,1140,85,1,88,25,1
3006,3,340,70,11,77,0,0
701,3,1159,83,13,6,83,0
1726,3,970,120,4,72,7,1
6341,3,545,97,9,130,158,0
7021,3,1280,141,7,2,8,0
4146,3,899,110,8,90,9,1
1115,3,680,135,17,25,24,1
1242,3,795,248,1,1,40,0
5148,3,900,70,10,54,89,0
3678,3,785,65,8,17,4,0
1019,3,600,131,1,108,19,0
3713,3,980,118,8,116,5,1
463,3,335,164,0,65,0,1
461,3,790,150,17,53,52,1
1989,4,435,65,1,131,1,0
367,3,470,80,17,44,138,0
2730,3,1100,95,14,159,2,0
711,3,960,363,1,53,15,0
249,4,390,75,17,202,15,1
1738,3,1200,250,2,187,22,0
4369,3,975,123,8,87,5,1
2315,3,635,300,4,54,15,0
4977,3,1244,76,10,54,274,0
6567,3,1210,153,7,65,120,1
727,3,825,237,16,88,24,0
536,4,400,125,2,71,7,0
4217,3,690,125,14,84,6,1
637,3,940,60,17,128,48,1
2489,3,587,108,4,54,86,1
5563,3,1025,81,10,152,7,1
5127,3,764,56,10,54,141,0
7097,3,360,82,10,75,6,0
1715,3,885,170,17,2,62,1
177,3,789,93,15,54,85,0
1422,3,647,73,0,28,0,1
361,3,630,157,15,83,7,1
867,4,445,84,1,90,22,0
7217,3,624,76,12,66,20,1
1471,3,1200,104,1,108,76,1
254,3,360,134,15,119,7,0
2049,3,500,335,4,54,18,0
1059,3,835,206,0,88,0,0
5226,3,510,61,10,54,175,0
2995,3,365,211,11,129,0,0
3222,3,1175,135,17,128,61,1
2168,3,1150,157,4,25,59,1
2130,3,840,66,1,83,35,0
504,3,1115,80,2,71,86,1
6667,3,660,199,7,0,43,1
317,4,365,170,17,137,24,1
1566,3,1165,75,17,127,46,1
2707,3,825,85,14,71,204,0
3965,3,960,140,8,54,61,0
1274,3,920,160,4,25,39,1
6327,3,801,44,7,205,15,0
2394,3,1065,127,4,54,22,0
4944,3,730,58,10,130,144,1
2116,4,400,75,17,85,41,0
7342,3,515,131,10,130,43,1
3618,3,1100,80,14,69,19,1
586,3,700,142,3,55,63,0
816,3,750,88,15,15,41,1
5201,3,660,121,10,102,7,1
2190,3,401,79,11,184,39,0
825,4,420,75,17,30,99,0
5556,3,960,95,10,57,7,0
2419,3,866,189,4,83,4,1
1490,3,971,109,1,108,25,1
521,3,655,95,17,197,60,1
525,3,1100,80,17,103,48,1
6856,3,1167,203,7,75,24,1
4181,3,705,55,14,65,81,0
2190,3,634,126,4,54,30,1
6405,4,370,93,9,19,7,1
2827,3,325,85,11,31,0,0
489,3,785,140,17,85,13,1
3804,3,335,128,8,64,7,0
2304,3,770,71,11,102,105,0
3159,3,1200,220,17,103,45,1
5901,3,560,56,11,37,6,0
2905,3,790,122,12,1,172,0
2041,3,960,92,1,15,40,1
3763,4,410,105,17,133,10,0
2148,3,725,129,11,44,39,1
6486,3,1021,55,7,209,24,0
857,3,790,108,16,6,12,1
3295,3,845,135,14,71,116,0
6618,3,1030,74,9,110,5,0
558,3,615,122,15,54,113,1
1423,3,845,136,15,23,70,0
891,4,398,380,13,82,15,1
7079,3,746,94,10,129,5,1
569,3,755,76,1,205,12,0
5343,3,535,143,10,54,118,0
875,3,813,154,15,54,4,1
257,3,825,75,17,72,52,1
916,3,470,296,13,21,20,0
959,3,1329,115,1,108,37,0
889,3,910,205,2,183,6,1
2966,3,570,95,12,4,18,0
714,3,785,189,1,71,22,1
3284,3,1335,75,14,71,97,0
1199,3,655,115,17,41,48,0
6464,3,769,95,7,0,202,1
5595,3,1236,84,10,54,277,0
6765,3,687,113,7,6,145,0
153,3,1121,297,13,65,18,0
1761,3,1105,105,4,54,86,0
1595,3,737,84,15,150,76,0
4694,3,1275,88,7,4,10,1
5343,3,365,130,10,106,7,0
1065,3,1270,225,2,71,64,1
1743,3,705,185,2,130,2,0
592,3,618,122,13,6,4,0
6655,3,1003,68,7,99,6,1
1384,3,810,65,4,83,35,0
1816,3,633,172,4,6,7,1
2995,3,330,67,4,44,7,0
1060,3,1189,77,1,108,40,1
1811,3,1355,170,2,183,0,1
5572,3,585,88,10,19,7,1
1496,3,810,287,1,0,1,1
1255,3,1134,121,4,87,7,0
6440,3,905,131,7,2,120,0
320,3,634,96,13,0,15,0
190,3,1155,143,0,102,19,0
5927,4,435,110,11,45,6,0
3009,3,935,65,14,2,129,0
2108,3,1155,150,17,23,61,1
35,3,562,315,13,0,14,0
1959,3,495,188,4,82,13,0
642,3,1040,70,2,39,2,1
2841,3,1040,53,11,66,51,0
2836,3,985,92,12,233,12,0
4962,3,828,95,10,155,7,1
4651,3,545,135,14,54,25,0
2722,4,30,228,4,1,5,0
498,3,1135,199,16,62,24,1
6432,3,965,101,7,65,26,0
1064,3,1105,100,4,135,7,0
5006,3,1247,130,10,54,119,1
1265,3,515,135,17,137,35,0
2716,3,1140,120,4,136,25,1
3711,3,910,115,14,65,65,0
6315,4,360,112,7,166,18,0
6565,3,1107,118,7,6,66,0
6935,3,417,64,7,127,91,0
778,3,739,147,13,129,13,0
1136,4,365,65,17,4,15,0
2871,3,1070,115,17,197,83,1
1007,3,1068,124,4,103,7,0
414,3,370,129,13,65,59,0
5018,3,605,102,10,156,7,1
17,3,100,380,6,4,11,1
471,4,400,110,13,123,24,0
2246,3,1050,170,2,2,62,0
2794,3,981,122,11,103,0,0
4505,3,1201,134,7,5,163,0
477,3,440,115,17,101,48,1
554,3,495,180,17,132,48,0
539,3,1205,70,17,137,68,1
1075,3,660,86,4,131,7,0
1069,3,1120,190,2,131,2,0
1396,3,710,190,2,196,2,1
391,3,670,115,17,1,54,1
1227,3,1210,123,5,15,42,0
351,3,755,135,17,205,24,1
4026,3,1195,40,14,185,235,1
6764,3,700,136,9,108,9,0
416,3,390,140,16,2,24,0
3986,3,800,111,8,25,70,0
595,4,360,174,1,103,12,0
3862,3,345,119,8,39,26,1
1355,3,705,155,2,71,12,1
37,3,555,100,17,4,55,1
103,3,733,162,13,6,21,1
6408,3,782,92,7,0,190,0
3919,3,840,115,14,42,6,0
1271,3,1246,133,15,22,124,1
386,3,535,120,2,65,25,0
1121,3,640,125,17,22,41,1
6453,3,1035,48,9,138,27,1
769,4,404,113,16,6,33,0
2980,3,425,150,14,149,2,1
6548,3,1025,95,9,85,9,0
1569,3,738,111,4,56,7,1
325,3,525,342,15,54,18,1
835,3,955,153,1,53,13,0
4697,4,360,100,14,130,25,0
533,3,520,75,17,4,54,1
1111,3,1045,81,4,54,42,1
5068,3,725,76,10,54,208,1
378,3,1091,169,5,72,25,1
625,3,1003,136,13,88,6,0
3141,3,665,130,17,30,52,1
5204,3,820,65,10,54,89,0
3755,3,1220,80,14,65,5,1
6973,3,669,149,7,21,15,0
836,3,1105,136,13,65,35,1
3322,4,390,200,14,19,2,0
2940,4,395,50,14,105,2,0
1330,3,425,85,17,55,21,0
2814,3,850,140,14,190,2,1
2278,3,1075,180,17,28,24,1
288,3,530,65,17,30,113,1
2932,3,1115,70,11,27,0,0
1701,4,410,178,0,14,37,0
6747,3,644,48,7,127,18,0
2077,3,987,128,4,93,5,1
775,3,1135,90,17,4,47,0
3296,3,600,80,14,78,2,0
1387,3,810,72,4,15,25,0
2580,3,530,79,11,64,30,0
3306,3,670,180,14,49,2,1
7787,3,1310,55,7,5,157,1
6841,3,1098,122,7,84,6,0
560,3,1250,105,2,65,40,1
1871,4,390,70,4,166,10,0
793,3,810,80,17,159,61,0
1718,3,1280,67,1,88,119,0
4658,3,745,155,14,83,7,1
1451,3,908,166,15,86,108,0
653,3,1145,138,13,65,82,0
5601,3,1017,58,10,54,224,0
61,3,813,47,3,281,34,0
4252,3,1310,84,8,130,248,0
7301,3,492,141,12,103,20,0
1483,3,508,92,4,5,33,0
2984,3,480,65,17,2,64,0
2748,3,475,125,14,71,111,0
333,3,595,97,13,65,43,1
2035,3,990,130,4,16,7,0
2980,3,455,110,17,133,12,0
2748,3,965,79,11,102,132,0
6399,3,1007,88,9,19,7,0
2874,3,885,91,12,1,115,0
5582,3,685,90,10,163,7,1
3786,3,1160,74,8,171,181,0
773,3,690,185,2,132,6,0
1163,3,410,85,17,0,63,0
2138,3,1080,75,1,83,35,1
6625,4,430,119,9,131,70,0
4839,3,660,94,7,126,10,0
4665,3,495,165,14,83,7,1
412,3,1285,75,17,2,47,0
6526,3,523,77,7,2,12,0
3121,3,893,82,11,42,0,0
6360,3,1023,76,7,0,46,0
7082,3,626,87,10,129,35,1
162,3,405,250,17,135,33,1
242,3,785,135,17,22,73,1
2454,3,705,99,11,171,0,1
6829,4,362,48,7,127,18,0
1921,3,645,80,17,44,42,1
4319,3,790,105,14,65,141,0
868,3,420,156,15,25,7,0
4830,3,785,82,7,220,10,1
2640,3,705,65,17,55,88,1
1051,3,490,97,5,82,73,0
582,3,505,165,5,72,108,1
7075,4,360,90,10,130,20,0
3686,3,560,99,8,171,150,0
981,3,950,65,17,4,87,0
663,3,1044,246,13,88,24,0
5970,4,385,79,11,63,6,0
317,3,880,175,17,1,86,1
1612,3,435,78,1,53,35,0
5113,3,590,65,10,54,224,0
3311,3,1125,95,17,44,86,1
941,3,850,75,17,30,51,1
6417,3,390,144,9,66,4,0
1700,3,525,160,4,54,35,0
2473,3,920,200,2,183,2,1
4088,3,465,114,8,25,27,0
422,3,451,94,13,218,24,0
1252,3,400,120,17,128,41,0
6363,3,820,125,9,136,43,0
1385,3,750,79,4,15,25,0
380,3,1210,80,17,162,67,0
6268,3,495,117,7,0,66,0
2819,3,1111,79,11,159,0,0
3528,3,1090,160,14,16,2,1
1118,3,800,120,17,30,49,1
2357,3,1170,80,17,53,73,1
5088,3,600,67,10,54,141,1
1092,4,385,165,4,23,5,0
3265,3,360,70,14,162,2,0
872,3,450,255,17,137,33,1
245,3,665,125,17,1,21,0
6350,3,838,85,7,7,18,1
1116,3,709,70,4,40,7,1
2985,3,1170,66,12,94,33,0
6469,3,645,86,9,54,147,0
511,3,595,235,17,2,48,1
6386,3,800,76,7,233,18,1
407,3,415,70,17,72,52,0
6700,3,780,92,7,226,24,1
656,3,925,180,2,233,2,0
4455,3,1320,65,7,25,163,1
743,3,1090,325,3,54,3,0
5926,3,718,137,11,65,152,1
701,3,360,218,5,82,38,0
1849,3,720,171,0,72,0,1
5494,3,815,129,10,54,67,1
2879,3,570,80,17,0,15,0
5583,3,340,47,10,74,7,0
945,3,525,106,1,115,1,1
2093,3,690,190,2,83,19,0
6948,3,360,146,7,124,6,0
1040,3,680,205,2,71,87,1
266,3,1045,37,6,11,14,0
1264,3,870,99,4,1,10,1
5428,4,380,83,10,97,26,0
2657,3,945,205,11,14,98,0
4676,4,360,144,7,44,4,1
